equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,ranking
1. Palmeiras,62,95,0,52.1,76.4,19.2,6.88
2. Flamengo,52,62,5,52.5,81.9,16.3,6.86
3. Atletico MG,61,74,4,52.4,80.9,15.5,6.84
4. Santos FC,58,74,4,53.1,83.0,15,6.83
5. Sao Paulo,44,87,5,50.9,80.2,15.6,6.80
6. Botafogo RJ,44,93,2,48.8,76.9,15.9,6.76
7. Corinthians,48,76,5,54.2,81.4,14.9,6.75
8. Fluminense,45,86,1,51.6,81.3,16.8,6.73
9. Gremio,40,93,6,52.6,80.0,15.5,6.73
10. Chapecoense AF,49,75,2,47.4,76.3,19.1,6.73
11. Athletico Paranaense,38,76,1,49.0,79.2,15.6,6.72
12. Cruzeiro,48,95,9,51.2,78.7,16.2,6.71
13. Sport Recife,50,81,7,50.3,78.4,19.5,6.71
14. Internacional,34,98,5,50.7,75.6,21.9,6.70
15. Vitoria,52,101,6,48.9,75.2,19.3,6.70
16. Coritiba,41,93,4,47.3,74.9,17.7,6.69
17. Ponte Preta,48,97,3,46.4,74.3,16.4,6.66
18. Figueirense,30,86,8,45.8,71.9,17.1,6.65
19. Santa Cruz,45,84,6,48.3,80.9,12.8,6.58
20. America MG,23,66,3,46.4,75.9,17.8,6.52
