equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,ranking
1. Corinthians,70,64,2,52.7,80.5,14.8,6.89
2. Atletico MG,60,75,4,54.9,83.1,12.7,6.84
3. Ponte Preta,41,99,5,49.7,78.1,15.1,6.78
4. Gremio,51,95,2,52.4,80.9,12.3,6.78
5. Santos FC,59,79,9,50.7,81.2,11.6,6.77
6. Sport Recife,54,72,2,50.3,81.2,13.4,6.76
7. Sao Paulo,52,72,5,54.1,83.4,11.2,6.75
8. Internacional,41,101,6,51.2,78.5,13.8,6.73
9. Cruzeiro,41,89,5,51.5,78.9,15.6,6.73
10. Palmeiras,59,91,5,50.3,75.5,16.4,6.72
11. Athletico Paranaense,41,84,7,50.3,79.8,10.5,6.72
12. Goias,38,89,3,44.0,76.4,15,6.69
13. Flamengo,44,80,6,53.7,80.1,13.2,6.68
14. Chapecoense AF,37,84,3,49.8,77.5,17.3,6.68
15. Fluminense,38,98,10,49.3,78.9,15.9,6.65
16. Figueirense,36,111,5,45.8,72.8,14.8,6.64
17. Avai FC,35,115,3,44.1,74.0,16.2,6.62
18. Joinville,25,93,8,46.8,73.2,15.7,6.61
19. Coritiba,32,111,5,48.8,75.3,13,6.58
20. Vasco da Gama,29,107,14,49.4,76.4,15.3,6.52
