equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,ranking
1. Corinthians,50,81,1,53.5,84.0,15.6,6.84
2. Santos FC,42,94,4,51.4,83.4,14.2,6.83
3. Palmeiras,61,87,4,54.5,81.9,15.9,6.81
4. Gremio,55,69,2,52.7,83.8,13,6.80
5. Flamengo,49,74,2,55.1,83.8,14.8,6.79
6. Bahia,49,89,7,49.0,80.0,15.2,6.78
7. Botafogo RJ,45,93,2,47.6,78.6,16.5,6.78
8. Cruzeiro,47,87,5,51.6,82.9,15.2,6.77
9. Atletico MG,52,105,3,51.9,81.0,15.4,6.75
10. Sao Paulo,48,70,4,53.7,83.9,15.1,6.74
11. Sport Recife,46,90,4,51.7,80.0,16.1,6.72
12. Coritiba,42,107,5,48.7,77.2,15.8,6.71
13. Athletico Paranaense,45,76,3,51.0,82.6,16.2,6.71
14. Vasco da Gama,40,105,2,48.5,80.0,14.4,6.70
15. Fluminense,50,95,3,49.9,82.4,14.3,6.69
16. Vitoria,50,95,7,48.5,77.1,18.6,6.69
17. Chapecoense AF,47,104,2,45.2,76.3,16.1,6.69
18. Ponte Preta,37,88,9,46.9,78.2,16.6,6.66
19. Avai FC,29,82,5,43.2,76.1,14.8,6.66
20. Atletico GO,38,83,3,45.5,78.4,13.9,6.61
